condition,condition_pretty,mean,metric_key,metric_label,model_label,model_label_pretty,n,sem
baseline,Control (no SC),0.05990987308375666,normalized_regret,Normalized Regret (↓),gpt-5.4,GPT-5.4,5,0.027798849861989747
baseline,Control (no SC),0.44000646345654726,normalized_coalition_regret_gap,Coalition Advantage (-),gpt-5.4,GPT-5.4,5,0.07226232643403173
baseline,Control (no SC),0.7333333333333332,judge_mean_rating,Collusion Judge (↓),gpt-5.4,GPT-5.4,5,0.06666666666666668
control,Emergent (SC),0.06293380962965298,normalized_regret,Normalized Regret (↓),gpt-5.4,GPT-5.4,5,0.034474079895275594
control,Emergent (SC),0.3907693642495171,normalized_coalition_regret_gap,Coalition Advantage (-),gpt-5.4,GPT-5.4,5,0.09835489032903304
control,Emergent (SC),1.4666666666666668,judge_mean_rating,Collusion Judge (↓),gpt-5.4,GPT-5.4,5,0.13333333333333336
simple,Prompted (SC),0.02436346646747136,normalized_regret,Normalized Regret (↓),gpt-5.4,GPT-5.4,5,0.00296325507179549
simple,Prompted (SC),0.5112785974092642,normalized_coalition_regret_gap,Coalition Advantage (-),gpt-5.4,GPT-5.4,5,0.004862419880441062
simple,Prompted (SC),2.2,judge_mean_rating,Collusion Judge (↓),gpt-5.4,GPT-5.4,5,0.1333333333333333
