condition,condition_pretty,mean,metric_key,metric_label,model_label,model_label_pretty,n,sem
baseline,Control (no SC),0.026861594780119534,normalized_regret,Normalized Regret (↓),gpt-5.4,GPT-5.4,5,0.0020334545614836596
baseline,Control (no SC),0.5218898752193831,normalized_coalition_regret_gap,Coalition Advantage (-),gpt-5.4,GPT-5.4,5,0.002843339292169379
baseline,Control (no SC),1.0,judge_mean_rating,Collusion Judge (↓),gpt-5.4,GPT-5.4,5,0.0
control,Emergent (SC),0.07723925300204874,normalized_regret,Normalized Regret (↓),gpt-5.4,GPT-5.4,5,0.028536955765144163
control,Emergent (SC),0.3162477978785015,normalized_coalition_regret_gap,Coalition Advantage (-),gpt-5.4,GPT-5.4,5,0.12784130572856578
control,Emergent (SC),1.4,judge_mean_rating,Collusion Judge (↓),gpt-5.4,GPT-5.4,5,0.12472191289246472
simple,Prompted (SC),0.08330008363392911,normalized_regret,Normalized Regret (↓),gpt-5.4,GPT-5.4,5,0.036637151526056476
simple,Prompted (SC),0.4827658821763558,normalized_coalition_regret_gap,Coalition Advantage (-),gpt-5.4,GPT-5.4,5,0.12421600614898799
simple,Prompted (SC),2.6666666666666665,judge_mean_rating,Collusion Judge (↓),gpt-5.4,GPT-5.4,5,0.21081851067789198
